Roster_ID,Year,Num,First_Name,Last_Name,Pos,Height,Weight,DOB,Age,College
3365,2020,72,Trey,Adams,OL,"6'8""",306,3/4/1997,24,Washington
3366,2020,97,Mario,Addison,DL,"6'3""",260,9/6/1987,33,Troy
3367,2020,17,Josh,Allen,QB,"6'5""",237,5/21/1996,24,Wyoming
3368,2020,5,Matt,Barkley,QB,"6'2""",234,9/8/1990,30,Southern California
3369,2020,2,Tyler,Bass,K,"5'10""",185,2/14/1997,23,Georgia Southern
3370,2020,71,Ryan,Bates,OL,"6'4""",302,2/14/1997,23,Penn State
3371,2020,11,Cole,Beasley,WR,"5'8""",174,4/26/1989,31,Southern Methodist
3372,2020,84,Nate,Becker,TE,"6'5""",264,3/24/1996,24,Miami (OH)
3373,2020,65,Ike,Boettger,OL,"6'6""",313,10/5/1994,26,Iowa
3374,2020,9,Corey,Bojorquez,P,"6'0""",208,9/13/1996,24,New Mexico
3375,2020,15,John,Brown,WR,"5'11""",178,4/3/1990,30,Pittsburg State
3376,2020,74,Brandin,Bryant,DL,"6'2""",289,9/16/1993,27,Mississippi State
3377,2020,94,Vernon,Butler,DL,"6'4""",330,6/14/1994,26,Louisiana Tech
3378,2020,51,Bryan,Cox,DL,"6'3""",270,6/25/1994,26,Florida
3379,2020,13,Gabriel,Davis,WR,"6'3""",213,4/1/1999,21,Central Florida
3380,2020,73,Dion,Dawkins,OL,"6'5""",320,4/26/1994,26,Temple
3381,2020,68,Jordan,Devey,OL,"6'6""",320,1/11/1988,32,Memphis
3382,2020,14,Stefon,Diggs,WR,"6'0""",191,11/29/1993,27,Maryland
3383,2020,53,Tyrel,Dodson,LB,"6'2""",240,6/25/1998,22,Texas A&M
3384,2020,49,Tremaine,Edmunds,LB,"6'5""",250,5/2/1998,22,Virginia Tech
3385,2020,57,AJ,Epenesa,DL,"6'5""",280,9/15/1998,22,Iowa
3386,2020,76,Jon,Feliciano,OL,"6'4""",325,2/10/1992,28,Miami (FL)
3387,2020,69,Reid,Ferguson,DB,"6'2""",235,3/24/1994,26,Louisiana State
3388,2020,70,Cody,Ford,OL,"6'3""",329,12/28/1996,24,Oklahoma
3389,2020,10,Jake,Fromm,QB,"6'2""",222,7/30/1998,22,Georgia
3390,2020,19,Tanner,Gentry,WR,"6'2""",209,12/18/1994,26,Wyoming
3391,2020,86,Reggie,Gilliam,TE,"6'1""",255,8/20/1997,23,Toledo
3392,2020,16,Isaiah,Hodgins,WR,"6'4""",209,10/21/1998,22,Oregon State
3393,2020,55,Jerry,Hughes,DL,"6'2""",254,8/13/1988,32,Texas Christian
3394,2020,23,Micah,Hyde,DB,"6'0""",197,12/31/1990,30,Iowa
3395,2020,30,Dane,Jackson,DB,"5'11""",185,11/29/1996,24,Pittsburgh
3396,2020,90,Quinton,Jefferson,DL,"6'4""",291,3/31/1993,27,Maryland
3397,2020,92,Darryl,Johnson,DL,"6'6""",253,4/4/1997,23,North Carolina A&T
3398,2020,46,Jaquan,Johnson,DB,"5'10""",191,11/13/1995,25,Miami (FL)
3399,2020,24,Taron,Johnson,DB,"5'11""",192,7/27/1996,24,Weber State
3400,2020,25,Taiwan,Jones,RB,"6'0""",195,7/26/1988,32,Eastern Washington
3401,2020,54,AJ,Klein,LB,"6'1""",240,7/30/1991,29,Iowa State
3402,2020,88,Dawson,Knox,TE,"6'4""",254,11/14/1996,24,Mississippi
3403,2020,81,Tyler,Kroft,TE,"6'6""",252,10/15/1992,28,Rutgers
3404,2020,18,Jake,Kumerow,WR,"6'4""",209,2/17/1992,28,Wisconsin-Whitewater
3405,2020,40,Deon,Lacey,LB,"6'3""",235,7/18/1990,30,West Alabama
3406,2020,52,Darron,Lee,LB,"6'1""",232,10/18/1994,26,Ohio State
3407,2020,47,Cameron,Lewis,DB,"5'11""",185,4/13/1997,23,Buffalo
3408,2020,98,Star,Lotulelei,DL,"6'2""",315,12/20/1989,31,Utah
3409,2020,56,Mike,Love,DL,"6'3""",255,1/22/1994,26,South Florida
3410,2020,31,Dean,Marlowe,DB,"6'1""",208,7/25/1992,28,James Madison
3411,2020,44,Tyler,Matakevich,LB,"6'1""",235,12/22/1992,28,Temple
3412,2020,19,Isaiah,McKenzie,WR,"5'8""",173,4/9/1995,25,Georgia
3413,2020,58,Matt,Milano,LB,"6'0""",223,7/28/1994,26,Boston College
3414,2020,60,Mitch,Morse,OL,"6'6""",305,4/21/1992,28,Missouri
3415,2020,20,Zack,Moss,RB,"5'10""",215,12/15/1997,23,Utah
3416,2020,93,Trent,Murphy,DL,"6'6""",260,12/22/1990,30,Stanford
3417,2020,33,Siran,Neal,DB,"6'0""",206,8/4/1994,26,Jacksonville State
3418,2020,29,Josh,Norman,DB,"6'0""",200,12/15/1987,33,Coastal Carolina
3419,2020,77,Ty,Nsekhe,OL,"6'8""",330,10/27/1985,35,Texas State
3420,2020,91,Ed,Oliver,DL,"6'1""",287,12/12/1997,23,Houston
3421,2020,43,DelShawn,Phillips,LB,"6'2""",230,10/9/1996,24,Illinois
3422,2020,99,Harrison,Phillips,DL,"6'3""",307,1/25/1996,24,Stanford
3423,2020,21,Jordan,Poyer,DB,"6'0""",191,4/25/1991,29,Oregon State
3424,2020,18,Andre,Roberts,WR,"5'11""",195,1/9/1988,32,Citadel
3425,2020,26,Devin,Singletary,RB,"5'7""",203,9/3/1997,23,Florida Atlantic
3426,2020,59,Andre,Smith,LB,"6'0""",240,4/20/1997,23,North Carolina
3427,2020,85,Lee,Smith,TE,"6'6""",265,11/21/1987,33,Marshall
3428,2020,67,Quinton,Spain,OL,"6'4""",330,8/7/1991,29,West Virginia
3429,2020,89,Tommy,Sweeney,TE,"6'4""",251,7/1/1995,25,Boston College
3430,2020,36,Josh,Thomas,DB,"6'0""",205,11/19/1996,24,Appalachian State
3431,2020,45,Christian,Wade,RB,"5'8""",190,5/15/1991,29,None
3432,2020,39,Levi,Wallace,DB,"6'0""",179,6/12/1995,25,Alabama
3433,2020,7,Davis,Webb,QB,"6'5""",229,1/22/1995,25,California
3434,2020,27,TreDavious,White,DB,"5'11""",192,1/16/1995,25,Louisiana State
3435,2020,35,Antonio,Williams,RB,"5'11""",210,10/22/1997,23,North Carolina
3436,2020,75,Daryl,Williams,OL,"6'6""",330,8/31/1992,28,Oklahoma
3437,2020,82,Duke,Williams,WR,"6'3""",225,5/13/1993,27,Auburn
3438,2020,66,Brian,Winters,OL,"6'4""",320,7/10/1991,29,Kent State
3439,2020,37,Daryl,Worley,DB,"6'1""",215,2/22/1995,25,West Virginia
3440,2020,22,TJ,Yeldon,RB,"6'1""",223,10/2/1993,27,Alabama
3441,2020,61,Justin,Zimmer,DL,"6'3""",292,10/23/1992,28,Ferris State
3293,2019,57,Lorenzo,Alexander,LB,"6'1""",245,5/31/1983,36,California
3294,2019,41,Maurice,Alexander,LB,"6'2""",220,2/16/1991,28,Utah State
3295,2019,17,Josh,Allen,QB,"6'5""",237,5/21/1996,23,Wyoming
3296,2019,5,Matt,Barkley,QB,"6'2""",234,9/8/1990,29,Southern California
3297,2019,71,Ryan,Bates,OL,"6'4""",302,2/14/1997,22,Penn State
3298,2019,10,Cole,Beasley,WR,"5'8""",174,4/26/1989,30,Southern Methodist
3299,2019,84,Nate,Becker,TE,"6'5""",264,3/24/1996,23,Miami (OH)
3300,2019,65,Ike,Boettger,OL,"6'6""",313,10/5/1994,25,Iowa
3301,2019,9,Corey,Bojorquez,P,"6'0""",208,9/13/1996,23,New Mexico
3302,2019,15,John,Brown,WR,"5'11""",178,4/3/1990,29,Pittsburg State
